name	path	filter	prompt	titel	autor	projektuebersicht
09	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_059_00.jpg	Objekte	bionic hands holding a translucent bionic compartment food tray, plastic cables and tubes resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Food Tray	Lukas Rössler, Benjamin Tamm	roessler						
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_059_01.jpg	Objekte	bionic machine hands holding a translucent bionic compartment food tray, plastic cables and tubes resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Food Tray	Lukas Rössler, Benjamin Tamm	roessler						
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_059_03.jpg	Objekte	bionic hands holding a translucent compartment food tray, plastic cables and tubes resembling muscle anatomy, fiber, blood-vessels, cables, technology, musculus, displays, A24, Arri Alexa, Helios 44-2	Food Tray	Lukas Rössler, Benjamin Tamm	roessler
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/01_Szene_Roessler_Tamm_064_00.jpg	Szenen	sci-fi, spaceship interior, bionic, translucent, cables resembling muscle anatonomy, translucent plastic casing, cyborg, filled with plastic, fiber, blood-vessels, data structure, digital, technology, red, A24, Arri Alexa, Helios 44-2	Spaceship-Interior 1	Lukas Rössler, Benjamin Tamm	roessler
13	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/01_Szene_Roessler_Tamm_064_01.jpg	Szenen	sci-fi, spaceship interior, bionic, translucent, cables resembling muscle anatonomy, translucent plastic casing, cyborg, filled with plastic, fiber, blood-vessels, data structure, digital, technology, red, A24, Arri Alexa, Helios 44-2	Spaceship-Interior 2	Lukas Rössler, Benjamin Tamm	roessler
10	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_072_00.jpg	Objekte	control displays, technology, cyborg, translucent plastic casing,, filled with plastic cables resembling muscle anatomy,  fiber, blood-vessels, data structure, cables, A24, Arri Alexa, Helios 44-2  Control Panel	Lukas Rössler, Benjamin Tamm	roessler		
11	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_072_01.jpg	Objekte	control displays, technology, cyborg, translucent plastic casing,, filled with plastic cables resembling muscle anatomy,  fiber, blood-vessels, data structure, cables, A24, Arri Alexa, Helios 44-2  Control Panel 2	Lukas Rössler, Benjamin Tamm	roessler
12	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/00_Objekt_Roessler_Tamm_072_04.jpg	Objekte	control displays, technology, cyborg, translucent plastic casing,, filled with plastic cables resembling muscle anatomy,  fiber, blood-vessels, data structure, cables, A24, Arri Alexa, Helios 44-2  Control Panel 3	Lukas Rössler, Benjamin Tamm	roessler
28	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/01_Szene_Roessler_Tamm_073_00.jpg	Szenen	sci-fi, spaceship interior, space suit, bionic, translucent, cables resembling muscle anatonomy, translucent plastic casing, cyborg, filled with plastic, fiber, blood-vessels, data structure, digital, technology, red, A24, Arri Alexa, Helios 44-2	Control-Room	Lukas Rössler,Benjamin Tamm	roessler
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/01_Szene_Roessler_Tamm_073_01.jpg	Szenen	sci-fi, spaceship interior, bionic, translucent, cables resembling muscle anatonomy, translucent plastic casing, cyborg, filled with plastic, fiber, blood-vessels, data structure, digital, technology, red, A24, Arri Alexa, Helios 44-2	Control-Room 2	Lukas Rössler,Benjamin Tamm	roessler
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Roessler_Lukas_Tamm_Benjamin/01_Szene_Roessler_Tamm_073_02.jpg	Szenen	sci-fi, spaceship interior, bionic, translucent, cables resembling muscle anatonomy, translucent plastic casing, cyborg, filled with plastic, fiber, blood-vessels, data structure, digital, technology, red, A24, Arri Alexa, Helios 44-2	Control-Room 3	Lukas Rössler,Benjamin Tamm	roessler
