name	path	filter	prompt	titel	autor	projektuebersicht
17	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/17_Charaktere_Reuters_Moritz_097.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
18	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/18_Charaktere_Reuters_Moritz_098.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
19	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/19_Charaktere_Reuters_Moritz_098.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
20	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/20_Charaktere_Reuters_Moritz_102.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
21	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Prossjektserie/Reuters_Moritz/21_Charaktere_Reuters_Moritz_102.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
22	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/22_Charaktere_Reuters_Moritz_104.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
23	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/23_Charaktere_Reuters_Moritz_114.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
24	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/24_Charaktere_Reuters_Moritz_115.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
25	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/25_Charaktere_Reuters_Moritz_134.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
26	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/26_Charaktere_Reuters_Moritz_134.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
27	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/27_Charaktere_Reuters_Moritz_134.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
28	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/28_Charaktere_Reuters_Moritz_136.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
29	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/29_Charaktere_Reuters_Moritz_137.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
30	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/30_Charaktere_Reuters_Moritz_137.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
31	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/31_Charaktere_Reuters_Moritz_138.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
32	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/32_Charaktere_Reuters_Moritz_138.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
33	https://raw.githubusercontent.com/maroeplin/bvk-128-03/main/Projektserie/Reuters_Moritz/33_Charaktere_Reuters_Moritz_138.jpg	Charaktere	Ian McKellen in a space suit as an art piece with parts made out semi-transparent plastic, inspired by 2001: a space odyssey, Kodak Porta 800 --ar 3:2 --style raw-cn3J6NscrF36WWYX --v 5.2	Interpretation von David Bowman	Moritz Reuters	reuters
